Rank	city	Population`2018	Density`per`km2
145	"Garden Grove"	"175238"	"3767.83"
149	"Salem"	"173819"	"1381.77"
150	"Corona"	"173037"	"1692.52"
151	"Eugene"	"172727"	"1510.48"
148	"Pembroke Pines"	"172673"	"2018.63"
152	"Peoria"	"171649"	"377.2"
155	"Fort Collins"	"168913"	"1166.4"
153	"Springfield"	"168493"	"790.15"
156	"Cary"	"167660"	"1145.82"
154	"Jackson"	"165608"	"575.8"
157	"Hayward"	"161285"	"1367.47"
159	"Alexandria"	"161086"	"4164.66"
158	"Lancaster"	"159902"	"654.71"
162	"Lakewood"	"158417"	"1423.49"
160	"Salinas"	"158306"	"2588.78"
163	"Hollywood"	"158088"	"2240.84"
161	"Palmdale"	"157202"	"572.19"
164	"Sunnyvale"	"156075"	"2740.17"
171	"Clarksville"	"152929"	"602.45"
166	"Pasadena"	"152723"	"1351.85"
169	"Escondido"	"152699"	"1582.96"
167	"Pomona"	"152690"	"2568.55"
170	"Macon-Bibb County"	"150997"	"233.89"
172	"Joliet"	"149184"	"903.27"
178	"Killeen"	"148974"	"1061.74"
173	"Savannah"	"148107"	"553.03"
174	"Naperville"	"147644"	"1473.27"
180	"McAllen"	"146972"	"972.4"
175	"Paterson"	"146946"	"6743.7"
177	"Torrance"	"146303"	"2758.67"
176	"Rockford"	"146109"	"876.34"
182	"Bellevue"	"144982"	"1673.02"
189	"Murfreesboro"	"143719"	"951.41"
179	"Bridgeport"	"143628"	"3453.34"
188	"Thornton"	"143451"	"1535.02"
181	"Mesquite"	"142676"	"1167.31"
186	"Miramar"	"142549"	"1873.25"
183	"Syracuse"	"142028"	"2190.9"
184	"Fullerton"	"141653"	"2438.06"
185	"Orange"	"140650"	"2141.51"
187	"Dayton"	"140317"	"971.89"
192	"Waco"	"139294"	"604.15"
193	"Denton"	"139120"	"560.35"
191	"Olathe"	"138419"	"876.98"
194	"Charleston"	"138247"	"489.59"
196	"Roseville"	"138177"	"1238.72"
190	"West Valley City"	"137764"	"1499.82"
197	"Surprise"	"137717"	"493"
195	"Midland"	"137464"	"713.65"
199	"Columbia"	"134969"	"386.12"
198	"Warren"	"134749"	"1514.17"
200	"Hamn"	"133522"	"1001.6"
